Country,Total Fertility,Child Mortality,Health,Life Expectancy,Export,Import,Income,Inflation,GDPP
Afghanistan,5.82,90.2,7.58,56.2,10,44.9,1610,9.44,553
Albania,1.65,16.6,6.55,76.3,28,48.6,9930,4.49,4090
Algeria,2.89,27.3,4.17,76.5,38.4,31.4,12900,16.1,4460
Angola,6.16,119,2.85,60.1,62.3,42.9,5900,22.4,3530
Antigua and Barbuda,2.13,10.3,6.03,76.8,45.5,58.9,19100,1.44,12200
Argentina,2.37,14.5,8.1,75.8,18.9,16,18700,20.9,10300
Armenia,1.69,18.1,4.4,73.3,20.8,45.3,6700,7.77,3220
Australia,1.93,4.8,8.73,82,19.8,20.9,41400,1.16,51900
Austria,1.44,4.3,11,80.5,51.3,47.8,43200,0.873,46900
Azerbaijan,1.92,39.2,5.88,69.1,54.3,20.7,16000,13.8,5840
Bahamas,1.86,13.8,7.89,73.8,35,43.7,22900,-0.393,28000
Bahrain,2.16,8.6,4.97,76,69.5,50.9,41100,7.44,20700
Bangladesh,2.33,49.4,3.52,70.4,16,21.8,2440,7.14,758
Barbados,1.78,14.2,7.97,76.7,39.5,48.7,15300,0.321,16000
Belarus,1.49,5.5,5.61,70.4,51.4,64.5,16200,15.1,6030
Belgium,1.86,4.5,10.7,80,76.4,74.7,41100,1.88,44400
Belize,2.71,18.8,5.2,71.4,58.2,57.5,7880,1.14,4340
Benin,5.36,111,4.1,61.8,23.8,37.2,1820,0.885,758
Bhutan,2.38,42.7,5.2,72.1,42.5,70.7,6420,5.99,2180
Bolivia,3.2,46.6,4.84,71.6,41.2,34.3,5410,8.78,1980
Bosnia and Herzegovina,1.31,6.9,11.1,76.8,29.7,51.3,9720,1.4,4610
Botswana,2.88,52.5,8.3,57.1,43.6,51.3,13300,8.92,6350
Brazil,1.8,19.8,9.01,74.2,10.7,11.8,14500,8.41,11200
Brunei,1.84,10.5,2.84,77.1,67.4,28,80600,16.7,35300
Bulgaria,1.57,10.8,6.87,73.9,50.2,53,15300,1.11,6840
Burkina Faso,5.87,116,6.74,57.9,19.2,29.6,1430,6.81,575
Burundi,6.26,93.6,11.6,57.7,8.92,39.2,764,12.3,231
Cambodia,2.88,44.4,5.68,66.1,54.1,59.5,2520,3.12,786
Cameroon,5.11,108,5.13,57.3,22.2,27,2660,1.91,1310
Canada,1.63,5.6,11.3,81.3,29.1,31,40700,2.87,47400
Cape Verde,2.67,26.5,4.09,72.5,32.7,61.8,5830,0.505,3310
Central African Republic,5.21,149,3.98,47.5,11.8,26.5,888,2.01,446
Chad,6.59,150,4.53,56.5,36.8,43.5,1930,6.39,897
Chile,1.88,8.7,7.96,79.1,37.7,31.3,19400,8.96,12900
China,1.59,15.7,5.07,74.6,26.3,22.6,9530,6.94,4560
Colombia,2.01,18.6,7.59,76.4,15.9,17.8,10900,3.86,6250
Comoros,4.75,88.2,4.51,65.9,16.5,51.7,1410,3.87,769
"Congo, Dem. Rep.",6.54,116,7.91,57.5,41.1,49.6,609,20.8,334
"Congo, Rep.",4.95,63.9,2.46,60.4,85.1,54.7,5190,20.7,2740
Costa Rica,1.92,10.2,10.9,80.4,33.2,35,13000,6.57,8200
Cote d'Ivoire,5.27,111,5.3,56.3,50.6,43.3,2690,5.39,1220
Croatia,1.55,5.5,7.76,76.3,37.6,38.1,20100,0.821,13500
Cyprus,1.42,3.6,5.97,79.9,50.2,57.5,33900,2.01,30800
Czech Republic,1.51,3.4,7.88,77.5,66,62.9,28300,-1.43,19800
Denmark,1.87,4.1,11.4,79.5,50.5,43.6,44000,3.22,58000
Dominican Republic,2.6,34.4,6.22,74.6,22.7,33.3,11100,5.44,5450
Ecuador,2.66,25.1,8.06,76.7,27.9,32.4,9350,7.47,4660
Egypt,3.19,29.1,4.66,70.5,21.3,26.6,9860,10.1,2600
El Salvador,2.27,19.2,6.91,74.1,26.9,46.6,7300,2.65,2990
Equatorial Guinea,5.21,111,4.48,60.9,85.8,58.9,33700,24.9,17100
Eritrea,4.61,55.2,2.66,61.7,4.79,23.3,1420,11.6,482
Estonia,1.72,4.5,6.03,76,75.1,68.7,22700,1.74,14600
Fiji,2.67,24.1,4.86,65.3,57.8,63.9,7350,4.23,3650
Finland,1.87,3,8.95,80,38.7,37.4,39800,0.351,46200
France,2.03,4.2,11.9,81.4,26.8,28.1,36900,1.05,40600
Gabon,4.08,63.7,3.5,62.9,57.7,18.9,15400,16.6,8750
Gambia,5.71,80.3,5.69,65.5,23.8,42.7,1660,4.3,562
Georgia,1.92,16.5,10.1,72.8,35,52.8,6730,8.55,2960
Germany,1.39,4.2,11.6,80.1,42.3,37.1,40400,0.758,41800
Ghana,4.27,74.7,5.22,62.2,29.5,45.9,3060,16.6,1310
Greece,1.48,3.9,10.3,80.4,22.1,30.7,28700,0.673,26900
Grenada,2.24,14.6,5.86,71.3,23.8,49.2,11200,0.48,7370
Guatemala,3.38,35.4,6.85,71.3,25.8,36.3,6710,5.14,2830
